10.2372	Seq: 1	ACK: 280501	time: 10220	echo: 10185 
10.2383	Seq: 1	ACK: 283501	time: 10221	echo: 10185 
10.2393	Seq: 1	ACK: 286501	time: 10222	echo: 10186 
10.2404	Seq: 1	ACK: 289501	time: 10223	echo: 10186 
10.2414	Seq: 1	ACK: 292501	time: 10224	echo: 10187 
10.2425	Seq: 1	ACK: 295501	time: 10225	echo: 10187 
10.2436	Seq: 1	ACK: 298501	time: 10226	echo: 10188 
10.2446	Seq: 1	ACK: 301501	time: 10227	echo: 10188 
10.2457	Seq: 1	ACK: 304501	time: 10228	echo: 10189 
10.2467	Seq: 1	ACK: 307501	time: 10229	echo: 10189 
10.2478	Seq: 1	ACK: 310501	time: 10230	echo: 10191 
10.2488	Seq: 1	ACK: 313501	time: 10231	echo: 10191 
10.2499	Seq: 1	ACK: 316501	time: 10232	echo: 10192 
10.2509	Seq: 1	ACK: 319501	time: 10233	echo: 10192 
10.252	Seq: 1	ACK: 322501	time: 10234	echo: 10193 
10.253	Seq: 1	ACK: 325501	time: 10235	echo: 10193 
10.2541	Seq: 1	ACK: 328501	time: 10237	echo: 10194 
10.2551	Seq: 1	ACK: 331501	time: 10238	echo: 10194 
10.2562	Seq: 1	ACK: 334501	time: 10239	echo: 10195 
10.2572	Seq: 1	ACK: 337501	time: 10240	echo: 10195 
10.2583	Seq: 1	ACK: 340501	time: 10241	echo: 10196 
10.2593	Seq: 1	ACK: 343501	time: 10242	echo: 10196 
10.2604	Seq: 1	ACK: 346501	time: 10243	echo: 10197 
10.2614	Seq: 1	ACK: 349501	time: 10244	echo: 10197 
10.2625	Seq: 1	ACK: 352501	time: 10245	echo: 10198 
10.2635	Seq: 1	ACK: 355501	time: 10246	echo: 10198 
10.2646	Seq: 1	ACK: 358501	time: 10247	echo: 10199 
10.2656	Seq: 1	ACK: 361501	time: 10248	echo: 10199 
10.2667	Seq: 1	ACK: 364501	time: 10249	echo: 10200 
10.2677	Seq: 1	ACK: 367501	time: 10250	echo: 10200 
10.2688	Seq: 1	ACK: 370501	time: 10251	echo: 10201 
10.2698	Seq: 1	ACK: 373501	time: 10252	echo: 10201 
10.2709	Seq: 1	ACK: 376501	time: 10253	echo: 10202 
10.2719	Seq: 1	ACK: 379501	time: 10254	echo: 10202 
10.273	Seq: 1	ACK: 382501	time: 10255	echo: 10203 
10.274	Seq: 1	ACK: 385501	time: 10256	echo: 10203 
10.2756	Seq: 1	ACK: 387001	time: 10258	echo: 10204 -> SACK List: 390001 to 391501; 
10.2761	Seq: 1	ACK: 387001	time: 10259	echo: 10204 -> SACK List: 390001 to 393001; 
10.2766	Seq: 1	ACK: 387001	time: 10259	echo: 10204 -> SACK List: 396001 to 397501; 390001 to 393001; 
10.2772	Seq: 1	ACK: 387001	time: 10260	echo: 10204 -> SACK List: 396001 to 399001; 390001 to 393001; 
10.2777	Seq: 1	ACK: 387001	time: 10260	echo: 10204 -> SACK List: 402001 to 403501; 396001 to 399001; 390001 to 393001; 
10.2782	Seq: 1	ACK: 387001	time: 10261	echo: 10204 -> SACK List: 402001 to 405001; 396001 to 399001; 390001 to 393001; 
10.2787	Seq: 1	ACK: 387001	time: 10261	echo: 10204 -> SACK List: 402001 to 406501; 396001 to 399001; 390001 to 393001; 
10.2793	Seq: 1	ACK: 387001	time: 10262	echo: 10204 -> SACK List: 402001 to 408001; 396001 to 399001; 390001 to 393001; 
10.2798	Seq: 1	ACK: 387001	time: 10262	echo: 10204 -> SACK List: 402001 to 409501; 396001 to 399001; 390001 to 393001; 
10.2803	Seq: 1	ACK: 387001	time: 10263	echo: 10204 -> SACK List: 402001 to 411001; 396001 to 399001; 390001 to 393001; 
10.2808	Seq: 1	ACK: 387001	time: 10263	echo: 10204 -> SACK List: 402001 to 412501; 396001 to 399001; 390001 to 393001; 
10.2814	Seq: 1	ACK: 387001	time: 10264	echo: 10204 -> SACK List: 402001 to 414001; 396001 to 399001; 390001 to 393001; 
10.2819	Seq: 1	ACK: 387001	time: 10264	echo: 10204 -> SACK List: 402001 to 415501; 396001 to 399001; 390001 to 393001; 
10.2824	Seq: 1	ACK: 387001	time: 10265	echo: 10204 -> SACK List: 402001 to 417001; 396001 to 399001; 390001 to 393001; 
10.2829	Seq: 1	ACK: 387001	time: 10265	echo: 10204 -> SACK List: 402001 to 418501; 396001 to 399001; 390001 to 393001; 
10.2835	Seq: 1	ACK: 387001	time: 10266	echo: 10204 -> SACK List: 402001 to 420001; 396001 to 399001; 390001 to 393001; 
